season,lg,tm,player,position
1990.0,NBA,3rd,Chris Mullin,F
1989.0,NBA,1st,Charles Barkley,F
1989.0,NBA,2nd,Tom Chambers,F
1989.0,NBA,3rd,Terry Cummings,F
1988.0,NBA,1st,Charles Barkley,F
1988.0,NBA,2nd,Karl Malone,F
1987.0,NBA,1st,Larry Bird,F
1987.0,NBA,2nd,Charles Barkley,F
1986.0,NBA,1st,Larry Bird,F
1986.0,NBA,2nd,Charles Barkley,F
1985.0,NBA,1st,Larry Bird,F
1985.0,NBA,2nd,Terry Cummings,F
1984.0,NBA,1st,Larry Bird,F
1984.0,NBA,2nd,Adrian Dantley,F
1983.0,NBA,1st,Larry Bird,F
1983.0,NBA,2nd,Alex English,F
1982.0,NBA,1st,Larry Bird,F
1982.0,NBA,2nd,Alex English,F
1981.0,NBA,1st,Larry Bird,F
1981.0,NBA,2nd,Adrian Dantley,F
1980.0,NBA,1st,Larry Bird,F
1980.0,NBA,2nd,Marques Johnson,F
1979.0,NBA,1st,Elvin Hayes,F
1979.0,NBA,2nd,Bob Dandridge,F
1978.0,NBA,1st,Julius Erving,F
1978.0,NBA,2nd,Walter Davis,F
1977.0,NBA,1st,Elvin Hayes,F
1977.0,NBA,2nd,Julius Erving,F
1976.0,NBA,1st,Rick Barry,F
1976.0,NBA,2nd,John Havlicek,F
1976.0,ABA,1st,Julius Erving,F
1976.0,ABA,2nd,Bobby Jones,F
1975.0,NBA,1st,Rick Barry,F
1975.0,NBA,2nd,John Havlicek,F
1975.0,ABA,1st,Julius Erving,F
1975.0,ABA,2nd,Marvin Barnes,F
1974.0,NBA,1st,Rick Barry,F
1974.0,NBA,2nd,Elvin Hayes,F
1974.0,ABA,1st,Julius Erving,F
1974.0,ABA,2nd,Dan Issel,F
1973.0,NBA,1st,John Havlicek,F
1973.0,NBA,2nd,Rick Barry,F
1973.0,ABA,1st,Billy Cunningham,F
1973.0,ABA,2nd,Dan Issel,F
1972.0,NBA,1st,John Havlicek,F
1972.0,NBA,2nd,Billy Cunningham,F
1972.0,ABA,1st,Rick Barry,F
1972.0,ABA,2nd,Julius Erving,F
1971.0,NBA,1st,Billy Cunningham,F
1971.0,NBA,2nd,Gus Johnson,F
1971.0,ABA,1st,Rick Barry,F
1971.0,ABA,2nd,Joe Caldwell,F
1970.0,NBA,1st,Billy Cunningham,F
1970.0,NBA,2nd,John Havlicek,F
1970.0,ABA,1st,Rick Barry,F
1970.0,ABA,2nd,Roger Brown,F
1969.0,NBA,1st,Elgin Baylor,F
