conference,losses,name,rank,srs,wins,year
East,33,Chicago Bulls,5,4.52,49,2007
East,47,Indiana Pacers,9,-2.62,35,2007
East,54,Milwaukee Bucks,14,-4.43,28,2007
East,38,Miami Heat,4,-1.21,44,2007
East,41,Washington Wizards,7,-0.8,41,2007
East,42,Orlando Magic,8,0.35,40,2007
East,49,Charlotte Bobcats,11,-3.97,33,2007
East,52,Atlanta Hawks,13,-4.86,30,2007
West,31,Utah Jazz,4,3.06,51,2007
West,37,Denver Nuggets,6,1.69,45,2007
West,50,Portland Trail Blazers,12,-3.78,32,2007
West,50,Minnesota Timberwolves,13,-3.16,32,2007
West,51,Seattle SuperSonics,14,-2.45,31,2007
West,21,Phoenix Suns,2,7.28,61,2007
West,40,Los Angeles Lakers,7,0.24,42,2007
West,40,Golden State Warriors,8,0.0,42,2007
West,42,Los Angeles Clippers,9,-0.07,40,2007
West,49,Sacramento Kings,11,-1.35,33,2007
West,15,Dallas Mavericks,1,7.28,67,2007
West,24,San Antonio Spurs,3,8.35,58,2007
West,30,Houston Rockets,5,5.04,52,2007
West,43,New Orleans/Oklahoma City Hornets,10,-1.19,39,2007
West,60,Memphis Grizzlies,15,-4.44,22,2007
East,16,Boston Celtics,1,9.3,66,2008
East,41,Toronto Raptors,6,2.47,41,2008
East,42,Philadelphia 76ers,7,0.19,40,2008
East,48,New Jersey Nets,10,-5.15,34,2008
East,59,New York Knicks,14,-6.55,23,2008
East,23,Detroit Pistons,2,6.67,59,2008
East,37,Cleveland Cavaliers,4,-0.53,45,2008
East,46,Indiana Pacers,9,-1.87,36,2008
East,49,Chicago Bulls,11,-3.19,33,2008
East,56,Milwaukee Bucks,13,-6.92,26,2008
East,30,Orlando Magic,3,4.79,52,2008
East,39,Washington Wizards,5,-0.61,43,2008
East,45,Atlanta Hawks,8,-2.23,37,2008
East,50,Charlotte Bobcats,12,-4.49,32,2008
East,67,Miami Heat,15,-8.53,15,2008
West,28,Utah Jazz,4,6.86,54,2008
West,32,Denver Nuggets,8,3.74,50,2008
West,41,Portland Trail Blazers,10,-0.52,41,2008
