name,starter,reserve,year,year-player
ray allen,0.0,1.0,2007.0,2007.0ray allen
amar'e stoudemire,0.0,1.0,2007.0,2007.0amar'e stoudemire
josh howard,0.0,1.0,2007.0,2007.0josh howard
mehmet okur,0.0,1.0,2007.0,2007.0mehmet okur
dwight howard,1.0,0.0,2008.0,2008.0dwight howard
lebron james,1.0,0.0,2008.0,2008.0lebron james
jason kidd,1.0,0.0,2008.0,2008.0jason kidd
dwyane wade,1.0,0.0,2008.0,2008.0dwyane wade
chris bosh,1.0,0.0,2008.0,2008.0chris bosh
ray allen,0.0,1.0,2008.0,2008.0ray allen
chauncey billups,0.0,1.0,2008.0,2008.0chauncey billups
richard hamilton,0.0,1.0,2008.0,2008.0richard hamilton
rasheed wallace,0.0,1.0,2008.0,2008.0rasheed wallace
joe johnson,0.0,1.0,2008.0,2008.0joe johnson
paul pierce,0.0,1.0,2008.0,2008.0paul pierce
antawn jamison,0.0,1.0,2008.0,2008.0antawn jamison
tim duncan,1.0,0.0,2008.0,2008.0tim duncan
carmelo anthony,1.0,0.0,2008.0,2008.0carmelo anthony
allen iverson,1.0,0.0,2008.0,2008.0allen iverson
yao ming,1.0,0.0,2008.0,2008.0yao ming
kobe bryant,1.0,0.0,2008.0,2008.0kobe bryant
brandon roy,0.0,1.0,2008.0,2008.0brandon roy
chris paul,0.0,1.0,2008.0,2008.0chris paul
dirk nowitzki,0.0,1.0,2008.0,2008.0dirk nowitzki
amar'e stoudemire,0.0,1.0,2008.0,2008.0amar'e stoudemire
steve nash,0.0,1.0,2008.0,2008.0steve nash
carlos boozer,0.0,1.0,2008.0,2008.0carlos boozer
david west,0.0,1.0,2008.0,2008.0david west
dwight howard,1.0,0.0,2009.0,2009.0dwight howard
lebron james,1.0,0.0,2009.0,2009.0lebron james
dwyane wade,1.0,0.0,2009.0,2009.0dwyane wade
kevin garnett,1.0,0.0,2009.0,2009.0kevin garnett
allen iverson,1.0,0.0,2009.0,2009.0allen iverson
joe johnson,0.0,1.0,2009.0,2009.0joe johnson
rashard lewis,0.0,1.0,2009.0,2009.0rashard lewis
