year,player,listed_pos,age,tm_name,g,gs,mp,per,ts%,3par,ftr,orb%,drb%,trb%,ast%,stl%,blk%,tov%,usg%,ows,dws,ws,ws/48,obpm,dbpm,bpm,vorp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,year-player,award_tm,award_pos,starter,reserve,all_star
1990.0,kevin johnson,PG,23.0,PHO,74.0,74.0,2782.0,22.8,0.585,0.035,0.516,1.8,8.4,5.3,44.4,1.6,0.3,15.6,25.0,9.0,2.6,11.6,0.2,4.9,-1.2,3.7,4.0,578.0,1159.0,0.499,8.0,41.0,0.195,570.0,1118.0,0.51,0.502,501.0,598.0,0.838,42.0,228.0,270.0,846.0,95.0,14.0,263.0,143.0,1665.0,1990.0kevin johnson,2,G,0.0,1.0,1.0
1990.0,magic johnson,PG,30.0,LAL,79.0,79.0,2937.0,26.6,0.622,0.243,0.56,5.2,14.8,10.2,45.5,2.2,0.7,16.9,24.8,12.8,3.8,16.5,0.27,8.6,1.0,9.5,8.5,546.0,1138.0,0.48,106.0,276.0,0.384,440.0,862.0,0.51,0.526,567.0,637.0,0.89,128.0,394.0,522.0,907.0,132.0,34.0,289.0,167.0,1765.0,1990.0magic johnson,1,G,1.0,0.0,1.0
1990.0,michael jordan,SG,26.0,CHI,82.0,82.0,3197.0,31.2,0.606,0.125,0.35600000000000004,5.3,15.6,10.4,28.6,3.5,1.1,9.8,33.7,14.7,4.3,19.0,0.285,9.7,0.8,10.6,10.1,1034.0,1964.0,0.526,92.0,245.0,0.376,942.0,1719.0,0.5479999999999999,0.55,593.0,699.0,0.848,143.0,422.0,565.0,519.0,227.0,54.0,247.0,241.0,2753.0,1990.0michael jordan,1,G,1.0,0.0,1.0
1990.0,fat lever,SG,29.0,DEN,79.0,79.0,2832.0,19.9,0.504,0.068,0.263,8.0,19.8,13.6,24.8,2.7,0.3,9.8,21.9,4.6,4.2,8.8,0.149,2.9,2.7,5.6,5.4,568.0,1283.0,0.443,36.0,87.0,0.414,532.0,1196.0,0.445,0.457,271.0,337.0,0.804,230.0,504.0,734.0,517.0,168.0,13.0,156.0,172.0,1443.0,1990.0fat lever,0,SG,0.0,1.0,1.0
1990.0,kevin mchale,PF,32.0,BOS,82.0,25.0,2722.0,21.8,0.623,0.058,0.373,8.6,18.4,13.7,9.5,0.5,3.3,11.7,24.1,7.8,3.3,11.1,0.195,3.3,0.4,3.7,3.9,648.0,1181.0,0.5489999999999999,23.0,69.0,0.333,625.0,1112.0,0.562,0.5579999999999999,393.0,440.0,0.893,201.0,476.0,677.0,172.0,30.0,157.0,183.0,250.0,1712.0,1990.0kevin mchale,0,PF,0.0,1.0,1.0
1990.0,reggie miller,SG,24.0,IND,82.0,82.0,3192.0,20.8,0.645,0.281,0.487,3.7,7.0,5.4,15.1,1.7,0.3,12.4,24.2,10.8,1.3,12.1,0.182,5.8,-2.0,3.8,4.6,661.0,1287.0,0.514,150.0,362.0,0.414,511.0,925.0,0.552,0.5720000000000001,544.0,627.0,0.868,95.0,200.0,295.0,311.0,110.0,18.0,222.0,175.0,2016.0,1990.0reggie miller,0,SG,0.0,1.0,1.0
1990.0,chris mullin,SF,26.0,GSW,78.0,78.0,2830.0,22.7,0.643,0.184,0.447,5.2,12.0,8.7,17.5,2.0,0.9,13.6,24.8,8.9,1.3,10.2,0.174,5.7,-1.0,4.8,4.9,682.0,1272.0,0.536,87.0,234.0,0.3720000000000001,595.0,1038.0,0.573,0.57,505.0,568.0,0.889,130.0,333.0,463.0,319.0,123.0,45.0,239.0,142.0,1956.0,1990.0chris mullin,3,F,0.0,1.0,1.0
1990.0,hakeem olajuwon,C,27.0,HOU,82.0,82.0,3124.0,24.1,0.541,0.004,0.333,10.3,28.3,19.5,12.1,2.6,7.0,14.6,28.1,2.5,8.7,11.2,0.173,0.1,5.8,5.9,6.3,806.0,1609.0,0.501,1.0,6.0,0.16699999999999998,805.0,1603.0,0.502,0.501,382.0,536.0,0.713,299.0,850.0,1149.0,234.0,174.0,376.0,316.0,314.0,1995.0,1990.0hakeem olajuwon,2,C,1.0,0.0,1.0
1990.0,robert parish,C,36.0,BOS,79.0,78.0,2396.0,19.2,0.616,0.0,0.358,12.6,23.5,18.3,6.2,0.8,1.7,14.4,20.7,4.8,3.0,7.8,0.157,1.4,-0.1,1.4,2.1,505.0,871.0,0.58,0.0,0.0,0.0,505.0,871.0,0.58,0.58,233.0,312.0,0.747,259.0,537.0,796.0,103.0,38.0,69.0,169.0,189.0,1243.0,1990.0robert parish,0,C,0.0,1.0,1.0
1990.0,scottie pippen,SF,24.0,CHI,82.0,82.0,3148.0,16.3,0.528,0.097,0.257,5.6,14.9,10.3,19.8,3.3,2.0,17.8,21.2,1.4,4.3,5.7,0.087,0.2,2.3,2.6,3.6,562.0,1150.0,0.489,28.0,112.0,0.25,534.0,1038.0,0.514,0.501,199.0,295.0,0.675,150.0,397.0,547.0,444.0,211.0,101.0,278.0,298.0,1351.0,1990.0scottie pippen,0,SF,0.0,1.0,1.0
1990.0,david robinson,C,24.0,SAS,82.0,81.0,3002.0,26.3,0.597,0.002,0.644,11.7,24.8,18.5,8.7,2.2,6.5,13.3,26.6,7.9,7.2,15.1,0.241,2.7,3.8,6.5,6.4,690.0,1300.0,0.531,0.0,2.0,0.0,690.0,1298.0,0.532,0.531,613.0,837.0,0.732,303.0,680.0,983.0,164.0,138.0,319.0,257.0,259.0,1993.0,1990.0david robinson,3,C,0.0,1.0,1.0
1990.0,dennis rodman,SF,28.0,DET,82.0,43.0,2377.0,15.4,0.608,0.018000000000000002,0.438,16.2,21.7,19.0,4.2,1.1,1.6,13.2,12.3,5.0,4.4,9.3,0.189,1.1,2.3,3.4,3.2,288.0,496.0,0.581,1.0,9.0,0.111,287.0,487.0,0.589,0.5820000000000001,142.0,217.0,0.654,336.0,456.0,792.0,72.0,52.0,60.0,90.0,276.0,719.0,1990.0dennis rodman,0,SF,0.0,1.0,1.0
1990.0,john stockton,PG,27.0,UTA,78.0,78.0,2915.0,23.9,0.607,0.123,0.471,2.5,5.6,4.1,57.4,3.5,0.4,19.7,20.6,10.4,4.0,14.4,0.238,5.6,-1.4,4.2,4.5,472.0,918.0,0.514,47.0,113.0,0.416,425.0,805.0,0.528,0.54,354.0,432.0,0.8190000000000001,57.0,149.0,206.0,1134.0,207.0,18.0,272.0,233.0,1345.0,1990.0john stockton,2,G,1.0,0.0,1.0
1990.0,isiah thomas,PG,28.0,DET,81.0,81.0,2993.0,17.3,0.501,0.103,0.285,2.8,8.9,5.9,39.4,2.4,0.4,17.8,26.0,2.1,4.6,6.7,0.107,1.6,0.9,2.5,3.4,579.0,1322.0,0.438,42.0,136.0,0.309,537.0,1186.0,0.453,0.454,292.0,377.0,0.775,74.0,234.0,308.0,765.0,139.0,19.0,322.0,206.0,1492.0,1990.0isiah thomas,0,PG,1.0,0.0,1.0
1990.0,dominique wilkins,SF,30.0,ATL,80.0,79.0,2888.0,24.6,0.556,0.109,0.34,8.4,12.4,10.4,11.8,2.2,1.0,8.3,30.4,9.3,1.8,11.1,0.184,5.3,-1.6,3.7,4.2,810.0,1672.0,0.484,59.0,183.0,0.322,751.0,1489.0,0.504,0.502,459.0,569.0,0.807,217.0,304.0,521.0,200.0,126.0,47.0,174.0,141.0,2138.0,1990.0dominique wilkins,0,SF,0.0,1.0,1.0
1990.0,james worthy,SF,28.0,LAL,80.0,80.0,2960.0,19.8,0.586,0.038,0.244,6.4,11.9,9.3,15.6,1.7,1.0,10.0,23.0,7.5,3.1,10.6,0.172,3.6,0.4,4.0,4.5,711.0,1298.0,0.5479999999999999,15.0,49.0,0.306,696.0,1249.0,0.557,0.5539999999999999,248.0,317.0,0.782,160.0,318.0,478.0,288.0,99.0,49.0,160.0,190.0,1685.0,1990.0james worthy,3,F,1.0,0.0,1.0
1991.0,charles barkley,SF,27.0,PHI,67.0,67.0,2498.0,28.9,0.635,0.133,0.564,11.8,18.6,15.3,20.6,2.2,0.8,12.6,29.1,10.3,3.1,13.4,0.258,9.0,0.9,9.9,7.4,665.0,1167.0,0.57,44.0,155.0,0.284,621.0,1012.0,0.614,0.589,475.0,658.0,0.722,258.0,422.0,680.0,284.0,110.0,33.0,210.0,173.0,1849.0,1991.0charles barkley,1,F,1.0,0.0,1.0
1991.0,tom chambers,PF,31.0,PHO,76.0,75.0,2475.0,16.2,0.513,0.057,0.361,4.8,16.2,10.8,11.5,1.2,1.2,10.7,27.2,2.4,3.0,5.4,0.105,-0.6,-0.5,-1.1,0.6,556.0,1271.0,0.4370000000000001,20.0,73.0,0.274,536.0,1198.0,0.447,0.445,379.0,459.0,0.826,104.0,386.0,490.0,194.0,65.0,52.0,177.0,235.0,1511.0,1991.0tom chambers,0,PF,0.0,1.0,1.0
1991.0,brad daugherty,C,25.0,CLE,76.0,76.0,2946.0,19.9,0.583,0.003,0.501,7.0,25.7,16.3,13.9,1.3,0.9,13.0,24.0,5.5,3.6,9.0,0.147,1.5,0.7,2.2,3.1,605.0,1155.0,0.524,0.0,3.0,0.0,605.0,1152.0,0.525,0.524,435.0,579.0,0.7509999999999999,177.0,653.0,830.0,253.0,74.0,46.0,211.0,191.0,1645.0,1991.0brad daugherty,0,C,0.0,1.0,1.0
1991.0,clyde drexler,SG,28.0,POR,82.0,82.0,2852.0,22.1,0.563,0.14300000000000002,0.392,8.3,12.8,10.6,25.7,2.4,1.3,12.9,25.7,8.0,4.5,12.4,0.209,5.3,2.1,7.3,6.7,645.0,1338.0,0.482,61.0,191.0,0.319,584.0,1147.0,0.509,0.505,416.0,524.0,0.794,212.0,334.0,546.0,493.0,144.0,60.0,232.0,226.0,1767.0,1991.0clyde drexler,2,G,0.0,1.0,1.0
